ano;cnae_2_descricao_secao;salario_medio;variable
2008;Artes, Cultura, Esporte E Recreação;746.2334848484849;Demissões
2008;Atividades Administrativas E Serviços Complementares;726.9735786043987;Demissões
2008;Atividades Financeiras, De Seguros E Serviços Relacionados;1935.237961095101;Demissões
2008;Atividades Imobiliárias;809.5333333333333;Demissões
2008;Atividades Profissionais, Científicas E Técnicas;813.3562923076922;Demissões
2008;"Comércio; Reparação De Veículos Automotores E Motocicletas";756.818671790637;Demissões
2008;Construção;641.8052031163049;Demissões
2008;Educação;1254.965973295854;Demissões
2008;Indústrias De Transformação;1243.9642920413366;Demissões
2008;Indústrias Extrativas;625.2;Demissões
2008;Informação E Comunicação;1247.777201274562;Demissões
2008;Organismos Internacionais E Outras Instituições Extraterritoriais;510.0;Demissões
2008;Outras Atividades De Serviços;759.0372597402596;Demissões
2008;Saúde Humana E Serviços Sociais;788.0999391480731;Demissões
2008;Serviços Domésticos;764.0;Demissões
2008;Transporte, Armazenagem E Correio;827.4898228025181;Demissões
2008;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;751.6255555555556;Demissões
2009;Administração Pública, Defesa E Seguridade Social;602.2932523485584;Demissões
2009;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;514.7142857142857;Demissões
2009;Alojamento E Alimentação;737.5611058700209;Demissões
2009;Artes, Cultura, Esporte E Recreação;843.4625954198474;Demissões
2009;Atividades Administrativas E Serviços Complementares;777.4316300845751;Demissões
2009;Atividades Financeiras, De Seguros E Serviços Relacionados;2544.9513965341484;Demissões
2009;Atividades Imobiliárias;916.3921568627451;Demissões
2009;Atividades Profissionais, Científicas E Técnicas;770.8975958702065;Demissões
2009;"Comércio; Reparação De Veículos Automotores E Motocicletas";798.4590292459478;Demissões
2009;Construção;727.8400068415052;Demissões
2009;Educação;1398.8527538155276;Demissões
2009;Eletricidade E Gás;508.0;Demissões
2009;Indústrias De Transformação;1362.1323162134945;Demissões
2009;Informação E Comunicação;1105.4933616569303;Demissões
