nivel_territorial_codigo;nivel_territorial;unidade_de_medida_codigo;unidade_de_medida;pib_corrente;municipio_codigo;municipio;ano_codigo;ano;variavel_codigo;variavel;ipca_normalizado;pib_deflacionado;variavel_dash
6;Município;40;Mil Reais;58268203.0;3534401;Osasco (SP);2019;2019;6575;Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social;0.8693028240032452;67028659.50862536;Serviços
6;Município;40;Mil Reais;2809633.0;3534401;Osasco (SP);2019;2019;525;Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social;0.8693028240032452;3232053.22980696;Administração
6;Município;40;Mil Reais;76612072.0;3534401;Osasco (SP);2020;2020;37;Produto Interno Bruto a preços correntes;0.9085953116481919;84319246.4432;Total
6;Município;40;Mil Reais;12952897.0;3534401;Osasco (SP);2020;2020;543;Impostos, líquidos de subsídios, sobre produtos a preços correntes;0.9085953116481919;14255958.4382;Impostos
6;Município;40;Mil Reais;1263.0;3534401;Osasco (SP);2020;2020;513;Valor adicionado bruto a preços correntes da agropecuária;0.9085953116481919;1390.0578;Agropecuária
6;Município;40;Mil Reais;3766703.0;3534401;Osasco (SP);2020;2020;517;Valor adicionado bruto a preços correntes da indústria;0.9085953116481919;4145633.3218;Indústria
6;Município;40;Mil Reais;56803340.0;3534401;Osasco (SP);2020;2020;6575;Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social;0.9085953116481919;62517756.004;Serviços
6;Município;40;Mil Reais;3087868.0;3534401;Osasco (SP);2020;2020;525;Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social;0.9085953116481919;3398507.5208;Administração
6;Município;40;Mil Reais;86111260.0;3534401;Osasco (SP);2021;2021;37;Produto Interno Bruto a preços correntes;1.0;86111260.0;Total
6;Município;40;Mil Reais;19194386.0;3534401;Osasco (SP);2021;2021;543;Impostos, líquidos de subsídios, sobre produtos a preços correntes;1.0;19194386.0;Impostos
6;Município;40;Mil Reais;1392.0;3534401;Osasco (SP);2021;2021;513;Valor adicionado bruto a preços correntes da agropecuária;1.0;1392.0;Agropecuária
6;Município;40;Mil Reais;4963982.0;3534401;Osasco (SP);2021;2021;517;Valor adicionado bruto a preços correntes da indústria;1.0;4963982.0;Indústria
6;Município;40;Mil Reais;58664576.0;3534401;Osasco (SP);2021;2021;6575;Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social;1.0;58664576.0;Serviços
6;Município;40;Mil Reais;3286923.0;3534401;Osasco (SP);2021;2021;525;Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social;1.0;3286923.0;Administração
