ano;cnae_2_descricao_secao;saldo_movimentacao;salario_mensal
2024;Atividades Administrativas E Serviços Complementares;307;2129.528882594199
2024;Atividades Financeiras, De Seguros E Serviços Relacionados;1203;8633.925559391182
2024;Atividades Imobiliárias;25;1934.250316344464
2024;Atividades Profissionais, Científicas E Técnicas;684;6196.807848008386
2024;"Comércio; Reparação De Veículos Automotores E Motocicletas";352;2153.2891649499707
2024;Construção;950;2468.527997263859
2024;Educação;146;34330.293374443994
2024;Indústrias De Transformação;652;2986.2704611242
2024;Informação E Comunicação;750;2986.3521681939105
2024;Outras Atividades De Serviços;342;2087.796078984485
2024;Saúde Humana E Serviços Sociais;427;1890.2107319021468
2024;Transporte, Armazenagem E Correio;8743;2536.912004941758
2024;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-4;2263.131647398844
