ano;cnae_2_descricao_secao;media_idade;variable
2024;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;35.42857142857143;Admissões
2024;Alojamento E Alimentação;29.59914407988588;Admissões
2024;Artes, Cultura, Esporte E Recreação;29.646191646191646;Admissões
2024;Atividades Administrativas E Serviços Complementares;32.89888297561261;Admissões
2024;Atividades Financeiras, De Seguros E Serviços Relacionados;31.122492080253433;Admissões
2024;Atividades Imobiliárias;32.303030303030305;Admissões
2024;Atividades Profissionais, Científicas E Técnicas;31.08313771517997;Admissões
2024;"Comércio; Reparação De Veículos Automotores E Motocicletas";30.109978070175437;Admissões
2024;Construção;35.15403670757797;Admissões
2024;Educação;35.92458758837392;Admissões
2024;Indústrias De Transformação;33.40523292916401;Admissões
2024;Informação E Comunicação;30.871474188398086;Admissões
2024;Outras Atividades De Serviços;33.437382001258655;Admissões
2024;Saúde Humana E Serviços Sociais;29.59145757517717;Admissões
2024;Transporte, Armazenagem E Correio;30.287720530150093;Admissões
2024;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;34.901162790697676;Admissões
2007;Administração Pública, Defesa E Seguridade Social;38.27888730385164;Demissões
2007;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;31.30188679245283;Demissões
2007;Alojamento E Alimentação;29.818892362661902;Demissões
2007;Artes, Cultura, Esporte E Recreação;28.931407942238266;Demissões
2007;Atividades Administrativas E Serviços Complementares;30.52583485628842;Demissões
2007;Atividades Financeiras, De Seguros E Serviços Relacionados;30.46282973621103;Demissões
2007;Atividades Imobiliárias;30.67105263157895;Demissões
2007;Atividades Profissionais, Científicas E Técnicas;29.04375;Demissões
2007;"Comércio; Reparação De Veículos Automotores E Motocicletas";28.062468041588545;Demissões
2007;Construção;34.95650372825187;Demissões
2007;Educação;33.209968186638385;Demissões
2007;Indústrias De Transformação;32.07392197125257;Demissões
2007;Informação E Comunicação;30.810126582278482;Demissões
2007;Outras Atividades De Serviços;33.69379014989293;Demissões
2007;Saúde Humana E Serviços Sociais;31.661218424962854;Demissões
2007;Serviços Domésticos;24.0;Demissões
2007;Transporte, Armazenagem E Correio;33.162955713237096;Demissões
2007;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;34.90625;Demissões
2008;Administração Pública, Defesa E Seguridade Social;40.010473235065945;Demissões
2008;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;29.94984326018809;Demissões
2008;Alojamento E Alimentação;30.27742946708464;Demissões
2008;Artes, Cultura, Esporte E Recreação;26.449494949494948;Demissões
2008;Atividades Administrativas E Serviços Complementares;31.50049778260476;Demissões
2008;Atividades Financeiras, De Seguros E Serviços Relacionados;29.129682997118156;Demissões
2008;Atividades Imobiliárias;29.866666666666667;Demissões
2008;Atividades Profissionais, Científicas E Técnicas;28.446153846153845;Demissões
2008;"Comércio; Reparação De Veículos Automotores E Motocicletas";28.371911325668552;Demissões
2008;Construção;34.30662214802449;Demissões
2008;Educação;34.8109627547435;Demissões
2008;Indústrias De Transformação;31.76459535632801;Demissões
2008;Indústrias Extrativas;31.2;Demissões
2008;Informação E Comunicação;31.813064259160914;Demissões
2008;Organismos Internacionais E Outras Instituições Extraterritoriais;52.0;Demissões
2008;Outras Atividades De Serviços;30.246753246753247;Demissões
2008;Saúde Humana E Serviços Sociais;31.25760649087221;Demissões
2008;Serviços Domésticos;34.833333333333336;Demissões
2008;Transporte, Armazenagem E Correio;32.36372114712054;Demissões
2008;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;35.44444444444444;Demissões
2009;Administração Pública, Defesa E Seguridade Social;40.9073534175575;Demissões
2009;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;30.0;Demissões
2009;Alojamento E Alimentação;30.708071278825997;Demissões
2009;Artes, Cultura, Esporte E Recreação;27.290076335877863;Demissões
2009;Atividades Administrativas E Serviços Complementares;30.83517921868707;Demissões
2009;Atividades Financeiras, De Seguros E Serviços Relacionados;32.51783893985729;Demissões
2009;Atividades Imobiliárias;32.84313725490196;Demissões
2009;Atividades Profissionais, Científicas E Técnicas;30.6047197640118;Demissões
2009;"Comércio; Reparação De Veículos Automotores E Motocicletas";28.558902983321587;Demissões
2009;Construção;34.3042189281642;Demissões
2009;Educação;34.700066357000665;Demissões
2009;Eletricidade E Gás;43.0;Demissões
2009;Indústrias De Transformação;33.01085375405617;Demissões
2009;Informação E Comunicação;31.018587360594797;Demissões
2009;Organismos Internacionais E Outras Instituições Extraterritoriais;25.285714285714285;Demissões
2009;Outras Atividades De Serviços;31.664759725400458;Demissões
2009;Saúde Humana E Serviços Sociais;31.74376199616123;Demissões
2009;Serviços Domésticos;42.0;Demissões
2009;Transporte, Armazenagem E Correio;32.2320710810239;Demissões
2009;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;35.9;Demissões
2010;Administração Pública, Defesa E Seguridade Social;42.60917600122756;Demissões
2010;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;23.5;Demissões
2010;Alojamento E Alimentação;29.853501318488135;Demissões
2010;Artes, Cultura, Esporte E Recreação;29.121951219512194;Demissões
2010;Atividades Administrativas E Serviços Complementares;29.326685934489404;Demissões
2010;Atividades Financeiras, De Seguros E Serviços Relacionados;29.035424354243542;Demissões
2010;Atividades Imobiliárias;32.15432098765432;Demissões
2010;Atividades Profissionais, Científicas E Técnicas;30.848337388483372;Demissões
2010;"Comércio; Reparação De Veículos Automotores E Motocicletas";28.230409812128883;Demissões
2010;Construção;33.66791930379747;Demissões
2010;Educação;34.742712294043095;Demissões
2010;Eletricidade E Gás;27.0;Demissões
2010;Indústrias De Transformação;31.77378954163977;Demissões
2010;Informação E Comunicação;29.591879593979698;Demissões
2010;Organismos Internacionais E Outras Instituições Extraterritoriais;25.275;Demissões
2010;Outras Atividades De Serviços;32.05614714424008;Demissões
2010;Saúde Humana E Serviços Sociais;34.00327868852459;Demissões
2010;Serviços Domésticos;41.333333333333336;Demissões
2010;Transporte, Armazenagem E Correio;33.27482993197279;Demissões
2010;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;34.22941176470588;Demissões
2011;Administração Pública, Defesa E Seguridade Social;41.258144408458755;Demissões
2011;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;26.0;Demissões
2011;Alojamento E Alimentação;30.0658159838818;Demissões
2011;Artes, Cultura, Esporte E Recreação;26.17180616740088;Demissões
2011;Atividades Administrativas E Serviços Complementares;30.035965598123536;Demissões
2011;Atividades Financeiras, De Seguros E Serviços Relacionados;31.938069216757743;Demissões
2011;Atividades Imobiliárias;32.616279069767444;Demissões
2011;Atividades Profissionais, Científicas E Técnicas;29.66618808327351;Demissões
